,id,nama,badge,link,harga,diskon,harga_asli,gambar,review_count,review_avg
0,11499632131,"ACER ASPIRE 7 A715-76G-53GV 15.6"" i5-12450H 8GB 512GB SSD RTX2050 W11",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-aspire-7-a715-76g-53gv-15-6-i5-12450h-8gb-512gb-ssd-rtx2050-w11?extParam=whid%3D2155150,Rp 10.499.000,20,Rp 13.199.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/4/c29e6f57-9c73-480d-b602-34518faa49f2.jpg,0,
1,11499312878,ACER ASPIRE 3 SPIN 14 A3SP14-31PT-35GN 14 INTEL I3-N305 RAM 8GB 512G,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-aspire-3-spin-14-a3sp14-31pt-35gn-14-intel-i3-n305-ram-8gb-512g?extParam=whid%3D2155150,Rp 8.499.000,17,Rp 10.199.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/4/7644969c-aa9d-42fd-8cef-d0b5859d67a3.jpg,0,
2,11477149887,ACER LAPTOP ASPIRE 3 A314-36P-P3ET 14FHD INTEL N200 RAM 8G 512G SSD,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-3-a314-36p-p3et-14fhd-intel-n200-ram-8g-512g-ssd?extParam=whid%3D2155150,Rp 5.399.000,17,Rp 6.479.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/1/df0aa6c0-6992-4342-95d1-fcb1c280b5c0.jpg,0,
3,11419840118,ACER LAPTOP NITRO 5 AN515-58-710Q 15.6 I7-12650H 16GB 512GB RTX 4060,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-nitro-5-an515-58-710q-15-6-i7-12650h-16gb-512gb-rtx-4060?extParam=whid%3D2155150,Rp 20.499.000,9,Rp 22.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/29/b64b5690-aca3-47f0-a14d-0e208dd81538.jpg,0,
4,11419663520,ACER LAPTOP NITRO 5 AN515-58-70LA 15.6 I7-12650H 16GB 512GB RTX 4050,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-nitro-5-an515-58-70la-15-6-i7-12650h-16gb-512gb-rtx-4050?extParam=whid%3D2155150,Rp 18.499.000,10,Rp 20.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/29/b2a6ff24-3ee8-4ff3-8198-560614a7317e.jpg,0,
5,11296877760,ACER LAPTOP ASPIRE 3 A314-36P-C7NQ 14FHD INTEL N100 RAM 8GB 512GB W11,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-3-a314-36p-c7nq-14fhd-intel-n100-ram-8gb-512gb-w11?extParam=whid%3D13056835,Rp 5.299.000,17,Rp 6.379.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/22/d36a8d19-b97d-439c-af10-d4e3701506b0.jpg,2,
6,11242814044,"ACER LAPTOP ASPIRE VERO AV14-52P-53ED 14"" i5-1335U RAM 16GB 512GB W11 ",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-vero-av14-52p-53ed-14-i5-1335u-ram-16gb-512gb-w11?extParam=whid%3D2155150,Rp 9.999.000,23,Rp 12.999.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/30/7d2cdc5d-21f6-44eb-8656-ba5300342518.jpg,0,
7,11233379203,"ACER LAPTOP ASPIRE 5 A514-56P-57Q8 14"" I5-1335U RAM 8GB 512GB SSD W11",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-5-a514-56p-57q8-14-i5-1335u-ram-8gb-512gb-ssd-w11?extParam=whid%3D13056835,Rp 8.999.000,17,Rp 10.799.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/17/13042d22-1f33-4d87-9278-1870c1588cb6.jpg,1,
8,11051638355,ACER SWIFT GO 14 OLED SFG14-71-76DC 14 INTEL GEN 13 i7-13700H 16GB 1TB,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-swift-go-14-oled-sfg14-71-76dc-14-intel-gen-13-i7-13700h-16gb-1tb?extParam=whid%3D2155150,Rp 15.999.000,13,Rp 18.399.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/6/5f162348-5bce-4074-8174-f77d193552aa.jpg,0,
9,11051611762,ACER SWIFT GO 14 OLED SFG14-71-59WX 14 INTEL GEN 13 i5-13500H 16G 512G,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-swift-go-14-oled-sfg14-71-59wx-14-intel-gen-13-i5-13500h-16g-512g?extParam=whid%3D2155150,Rp 13.499.000,16,Rp 16.029.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/6/5e9c0119-64df-48a5-b4ed-fb3a11060e8f.jpg,0,
10,10996458120,ACER MONITOR 27 INCH ACER NITRO VG271U_M3 | 2K 180HZ,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-monitor-27-inch-acer-nitro-vg271u-m3-2k-180hz?extParam=whid%3D2155150,Rp 4.199.000,14,Rp 4.890.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/2/e245a29f-aa24-408d-b7fe-70e048e9922c.jpg,0,
11,10996429152,ACER MONITOR ACER 27 INCH NITRO VG270_M3 | FHD 180HZ,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-monitor-acer-27-inch-nitro-vg270-m3-fhd-180hz?extParam=whid%3D2155150,Rp 3.249.000,14,Rp 3.790.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/2/6485f64c-3251-48f1-9f06-169a82a66381.jpg,0,
